"asn","match_name","organization","comment"
"15736","src_asn_isp_","'Mobile Business Solutions' MBS LLP",""
"15751","src_asn_isp_","Meteor Mobile Communications Limited",""
"15759","src_asn_isp_","PJSC Rostelecom",""
"15763","src_asn_isp_","DOKOM21",""
"15796","src_asn_isp_","SALT MOBILE",""
"15802","src_asn_isp_","du",""
"15808","src_asn_isp_","AccessKenya Group",""
"15824","src_asn_isp_","A1 Telekom Austria AG",""
"15868","src_asn_isp_","Nalchik-Telecom Ltd",""
"15897","src_asn_isp_","Vodafone Telekomunikasyon A.S.",""
"15934","src_asn_isp_","PJSC Rostelecom",""
"15943","src_asn_isp_","wilhelm.tel",""
"15964","src_asn_isp_","CAMTEL",""
"15974","src_asn_isp_","Volgatranstelecom",""
"15997","src_asn_isp_","Intelligent Technologies",""
"16058","src_asn_isp_","Gabon Telecom",""
"16097","src_asn_isp_","HLkomm",""
"16154","src_asn_isp_","Telecoms Ltd.",""
"16202","src_asn_isp_","PŸUR - Mitte",""
"16223","src_asn_isp_","Columbus AS16223",""
"16227","src_asn_isp_","Vip Line Telecom Ltd.",""
"16229","src_asn_isp_","Primetel PLC",""
"16232","src_asn_isp_","Telecom Italia S.p.A.",""
"16236","src_asn_isp_","Stellantis Auto SAS",""
"16281","src_asn_isp_","Utelisys Communications B.V.",""
"16285","src_asn_isp_","Joint Stock Company TransTeleCom",""
"16345","src_asn_isp_","BEE",""
"16381","src_asn_isp_","Osterreichischer Automobil Motorrad und Touringclub (OAMTC) Verband",""
"16413","src_asn_isp_","Telebermuda International Limited",""
"16438","src_asn_isp_","Satelcom Internet Inc.",""
"16504","src_asn_isp_","Granite Telecommunications",""
"16524","src_asn_isp_","MetTel",""
"16527","src_asn_isp_","Guadalupe Valley Telephone Cooperative",""
"16531","src_asn_isp_","Protel i-Next",""
"16591","src_asn_isp_","Google Fiber Inc.",""
"16604","src_asn_isp_","HUNTEL.NET",""
"16629","src_asn_isp_","CTCCORP",""
"16696","src_asn_isp_","iTel Networks Inc",""
"16708","src_asn_isp_","Telcom Systems LLC",""
"16717","src_asn_isp_","CRAWKANINTERNET",""
"16728","src_asn_isp_","Mattel Inc.",""
"16814","src_asn_isp_","IPLAN Telecomunicaciones - NSS S.A.",""
"16863","src_asn_isp_","Home Telecom",""
"16934","src_asn_isp_","Leaco Rural Telephone",""
"16942","src_asn_isp_","Citizens Telephone Cooperative",""
"16954","src_asn_isp_","Three River Telco",""
"17069","src_asn_isp_","Cotel Argentina",""
"17072","src_asn_isp_","TOTAL PLAY TELECOMUNICACIONES AS17072",""
"17079","src_asn_isp_","Telemovil El Salvador S.A.",""
"17133","src_asn_isp_","T-Mobile USA Inc.",""
"17143","src_asn_isp_","Winn Telecom",""
"17356","src_asn_isp_","Vermont Telephone",""
"17380","src_asn_isp_","Project Mutual Telephone Cooperative Association Inc.",""
"17385","src_asn_isp_","Orbitel Communications LLC",""
"17400","src_asn_isp_","MSTELCOM SARL",""
"17408","src_asn_isp_","Chief",""
